Country,Sex,ageStart,ageGroup,ageLabel,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bulgaria,Females,50,50-54,From 50 to 54 years,301612,311595,300154,297941,294798,287745,281050,280483,276909,272007,266963,260800,256196,252596,249005,246051,240839,234278,230022
Bulgaria,Females,55,55-59,From 55 to 59 years,249029,253738,266574,273004,281241,292796,300233,294704,292461,288491,281122,273320,272370,268483,264148,259886,254507,250138,246625
Bulgaria,Females,60,60-64,From 60 to 64 years,243770,238704,232253,234385,236976,239047,245569,256959,263991,272721,283698,291796,285762,283055,278679,271840,264213,263513,259749
Bulgaria,Females,65,65-69,From 65 to 69 years,257574,253502,250738,242912,234549,225527,222925,219093,220821,223280,226304,232088,242801,249869,258496,268836,276299,271163,268892
Bulgaria,Females,70,70-74,From 70 to 74 years,222980,224075,216876,218951,221675,226814,222482,223012,216588,210629,202820,201575,199039,200106,203031,205961,210931,221016,227722
Bulgaria,Females,75,75-79,From 75 to 79 years,170909,174359,176912,176368,176645,174520,175471,172911,176315,178784,184270,182588,184013,179383,175724,169944,169324,167978,169324
Bulgaria,Females,80,80-84,From 80 to 84 years,65030,67144,83113,96521,105940,110339,113705,116780,116870,118349,117624,119736,118844,122929,125702,130333,129622,131682,129378
Bulgaria,Females,85,85,85 years or over,41583,45235,44925,40548,39104,43718,48275,53074,57991,61924,67094,70815,75015,76940,80571,82419,84900,86733,90317
Bulgaria,Males,1,1-4,From 1 to 4 years,174749,175786,164044,166258,166796,165414,164912,167286,169977,173440,176316,176468,177862,178033,175739,173537,171913,169715,168218
Bulgaria,Males,5,5-9,From 5 to 9 years,222879,209130,186676,174119,166020,163661,163745,161892,163677,164308,163290,162949,165639,168482,172308,176451,178517,179593,179623
Bulgaria,Males,10,10-14,From 10 to 14 years,269336,264468,251437,240768,227203,212261,197088,185933,173666,165158,162374,162150,160513,162460,163878,163300,163167,165601,168426
Bulgaria,Males,15,15-19,From 15 to 19 years,289990,284517,271920,268189,265625,262633,257761,248778,238572,225226,210737,195451,184231,172923,164105,161330,161150,159294,160986
Bulgaria,Males,20,20-24,From 20 to 24 years,321435,315946,288034,280227,274128,267376,263576,261022,258543,257679,255428,252163,244907,235369,223177,208750,193366,180552,167828
Bulgaria,Males,25,25-29,From 25 to 29 years,304028,307594,294660,298530,295884,291026,283819,276336,269271,263961,258748,255737,254638,252914,253073,251020,247953,239641,229275
Bulgaria,Males,30,30-34,From 30 to 34 years,277864,285925,279448,282099,282266,284486,286444,289400,292574,290269,284539,277345,270154,263770,259290,254270,251729,250016,247873
Bulgaria,Males,35,35-39,From 35 to 39 years,277340,272616,258292,254731,258163,262833,268849,273959,277362,277089,279409,280911,283890,287004,285514,279613,273170,265779,259105
Bulgaria,Males,40,40-44,From 40 to 44 years,282133,280109,273003,270028,267474,265220,259580,252963,249125,252175,257202,263502,268802,272607,272767,274829,276242,279190,281901
Bulgaria,Males,45,45-49,From 45 to 49 years,289340,281308,278144,276660,273847,270585,267689,265301,262428,259839,257310,251413,245517,242190,245513,250798,257274,262394,265873
Bulgaria,Males,50,50-54,From 50 to 54 years,281193,290748,283074,281452,279016,273212,267560,268491,266428,262995,259656,256800,253526,251060,249183,246926,241704,236270,232763
Bulgaria,Males,55,55-59,From 55 to 59 years,225051,228057,241039,246861,254501,265307,271900,266671,265255,262896,257580,252035,252511,250275,246883,243828,241363,238596,236464
Bulgaria,Males,60,60-64,From 60 to 64 years,209095,204366,198852,199761,201988,203571,208730,218591,224491,231731,241018,248353,243210,241742,239372,234527,228919,229793,227799
Bulgaria,Males,65,65-69,From 65 to 69 years,212528,207025,203187,195993,187611,179463,176187,172611,173319,175273,177720,181795,190684,195881,202315,210271,216321,212058,210746
Bulgaria,Males,70,70-74,From 70 to 74 years,170723,170539,164270,165483,166716,168903,164474,163176,157399,151855,145592,143910,141493,141967,143806,146330,148961,156417,160541
Bulgaria,Males,75,75-79,From 75 to 79 years,115900,118673,119857,119759,119493,118193,118573,116452,118723,119812,122106,120172,119612,115765,112278,107794,106913,105731,106393
Bulgaria,Males,80,80-84,From 80 to 84 years,43162,42650,52275,59020,63915,66003,67693,69249,69250,69843,70120,71525,70854,73185,74580,76127,74936,75010,72708
Bulgaria,Males,85,85,85 years or over,24415,27966,24927,22276,21482,23973,26034,28468,30307,32306,34813,36247,38724,39446,41164,42314,43579,44328,45887
Bulgaria,Total,1,1-4,From 1 to 4 years,340192,341962,319358,323656,324603,321634,320436,325010,330433,336941,343024,343361,346017,346460,342480,337656,334171,330275,327751
Bulgaria,Total,5,5-9,From 5 to 9 years,434289,407847,363957,339347,323497,318826,318864,315161,318379,319673,317382,316457,321683,327440,334783,343330,347342,349350,349423
Bulgaria,Total,10,10-14,From 10 to 14 years,526426,516724,489817,468219,442296,413302,384223,362288,338088,321286,315782,315313,312256,316089,318881,317210,316693,321394,327202
Bulgaria,Total,15,15-19,From 15 to 19 years,564006,553925,529214,522354,516774,511408,501562,483805,463513,437999,409882,380036,358043,335811,318714,313313,313051,309596,313032
Bulgaria,Total,20,20-24,From 20 to 24 years,628227,616717,560663,544360,531458,517315,509614,505025,500953,499080,495791,489978,476084,457433,433186,404960,374939,350006,325198
Bulgaria,Total,25,25-29,From 25 to 29 years,597911,605942,576980,583864,577535,566961,551666,535915,520417,508765,497440,491248,490354,488683,488936,486621,481408,465523,445237
Bulgaria,Total,30,30-34,From 30 to 34 years,549435,563194,549471,552664,551812,554972,558489,563622,569374,563536,550937,535323,520808,507408,498179,488268,483946,481875,479767
Bulgaria,Total,35,35-39,From 35 to 39 years,553230,543811,511596,503331,509064,516832,526516,534940,539637,538411,541949,544714,550714,557198,553603,541664,528455,513551,499654
Bulgaria,Total,40,40-44,From 40 to 44 years,570938,564940,544763,536606,529368,523051,511001,497221,488699,494170,502843,512947,522726,529069,529290,533378,537016,542793,548897
Bulgaria,Total,45,45-49,From 45 to 49 years,591668,576030,563970,559870,553090,545141,536139,528961,521391,514362,508236,496499,483885,476279,482688,492411,503432,512792,518543
Bulgaria,Total,50,50-54,From 50 to 54 years,582805,602343,583228,579393,573814,560957,548610,548974,543337,535002,526619,517600,509722,503656,498188,492977,482543,470548,462785
Bulgaria,Total,55,55-59,From 55 to 59 years,474080,481795,507613,519865,535742,558103,572133,561375,557716,551387,538702,525355,524881,518758,511031,503714,495870,488734,483089
Bulgaria,Total,60,60-64,From 60 to 64 years,452865,443070,431105,434146,438964,442618,454299,475550,488482,504452,524716,540149,528972,524797,518051,506367,493132,493306,487548
Bulgaria,Total,65,65-69,From 65 to 69 years,470102,460527,453925,438905,422160,404990,399112,391704,394140,398553,404024,413883,433485,445750,460811,479107,492620,483221,479638
Bulgaria,Total,70,70-74,From 70 to 74 years,393703,394614,381146,384434,388391,395717,386956,386188,373987,362484,348412,345485,340532,342073,346837,352291,359892,377433,388263
Bulgaria,Total,75,75-79,From 75 to 79 years,286809,293032,296769,296127,296138,292713,294044,289363,295038,298596,306376,302760,303625,295148,288002,277738,276237,273709,275717
Bulgaria,Total,80,80-84,From 80 to 84 years,108192,109794,135388,155541,169855,176342,181398,186029,186120,188192,187744,191261,189698,196114,200282,206460,204558,206692,202086
Bulgaria,Total,85,85,85 years or over,65998,73201,69852,62824,60586,67691,74309,81542,88298,94230,101907,107062,113739,116386,121735,124733,128479,131061,136204
Croatia,Females,1,1-4,From 1 to 4 years,,112567,108729,104268,100711,98533,98398,98569,99320,101116,103364,103655,103712,103621,101744,99292,95968,94022,91206
Croatia,Females,5,5-9,From 5 to 9 years,,116157,116675,118626,118399,116985,114858,110682,106167,102539,100103,99517,99326,99674,100942,102791,102575,101795,100677
Croatia,Females,10,10-14,From 10 to 14 years,,124471,123925,121559,119898,119138,118391,118411,120221,120017,118358,115748,111250,106426,102318,99568,98397,97457,96855
Croatia,Females,15,15-19,From 15 to 19 years,,136343,135063,133238,131649,128905,126816,125746,123253,121435,120452,119319,119111,120502,120016,118031,114878,109688,104155
Croatia,Females,20,20-24,From 20 to 24 years,,139561,140344,140759,140934,141105,140164,138469,136418,134558,131317,128565,126882,123935,122010,120645,119102,117962,118124
